Title, Author, License, Link
click, OtisJames, CC0 1.0, https://freesound.org/people/OtisJames/sounds/215772/
camera_snap1.wav, thecheeseman, CC BY 3.0, https://freesound.org/people/thecheeseman/sounds/51360/
